NAME,CLUB,LEAGUE,POSITION,TIER,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL,LOADDATE
Cristiano Ronaldo,Real Madrid,Liga BBVA,LW,Gold,99,98,99,90,99,42,89,2018-09-19 11:18:34
Cristiano Ronaldo,Real Madrid,Liga BBVA,LW,Gold,98,98,99,89,98,41,88,2018-09-19 11:18:34
Lionel Messi,FC Barcelona,Liga BBVA,CF,Gold,98,97,96,94,99,41,74,2018-09-19 11:18:34
Lionel Messi,FC Barcelona,Liga BBVA,RW,Gold,97,97,96,93,98,49,73,2018-09-19 11:18:34
Cristiano Ronaldo,Real Madrid,Liga BBVA,LW,Gold,97,97,98,88,97,40,87,2018-09-19 11:18:34
Cristiano Ronaldo,Real Madrid,Liga BBVA,ST,Gold,97,97,98,88,97,40,87,2018-09-19 11:18:34
Lionel Messi,FC Barcelona,Liga BBVA,RW,Gold,96,96,94,91,98,35,69,2018-09-19 11:18:34
Zlatan Ibrahimović,PSG,Ligue 1,ST,Gold,96,84,98,91,97,45,97,2018-09-19 11:18:34
Luis Suárez,FC Barcelona,Liga BBVA,ST,Gold,96,92,99,92,98,55,94,2018-09-19 11:18:34
Lionel Messi,FC Barcelona,Liga BBVA,RW,Gold,96,96,94,91,98,35,69,2018-09-19 11:18:34
Cristiano Ronaldo,Real Madrid,Liga BBVA,LW,Gold,96,96,97,87,96,39,86,2018-09-19 11:18:34
Lionel Messi,FC Barcelona,Liga BBVA,CF,Gold,96,96,94,91,98,35,69,2018-09-19 11:18:34
Arjen Robben,FC Bayern,Bundesliga,RW,Gold,96,98,95,90,98,40,72,2018-09-19 11:18:34
Neymar,FC Barcelona,Liga BBVA,LW,Gold,95,98,94,85,99,45,75,2018-09-19 11:18:34
Arjen Robben,FC Bayern,Bundesliga,RM,Gold,95,97,94,89,97,39,71,2018-09-19 11:18:34
Eden Hazard,Chelsea,Barclays PL,LM,Gold,95,95,91,94,98,43,77,2018-09-19 11:18:34
Elio Castro,Manchester Utd,Barclays PL,ST,Gold,95,95,97,92,95,90,93,2018-09-19 11:18:34
Cristiano Ronaldo,Real Madrid,Liga BBVA,LW,Gold,95,95,96,86,95,37,84,2018-09-19 11:18:34
Iniesta,FC Barcelona,Liga BBVA,CM,Gold,95,81,79,97,96,67,71,2018-09-19 11:18:34
Philipp Lahm,FC Bayern,Bundesliga,RB,Gold,95,84,66,94,89,94,77,2018-09-19 11:18:34
Lionel Messi,FC Barcelona,Liga BBVA,CF,Gold,95,95,93,89,97,33,66,2018-09-19 11:18:34
Robert Lewandowski,FC Bayern,Bundesliga,ST,Gold,94,87,93,81,94,45,87,2018-09-19 11:18:34
Thomas Müller,FC Bayern,Bundesliga,CF,Gold,94,88,96,95,89,55,83,2018-09-19 11:18:34
Sergio Agüero,Manchester City,Barclays PL,ST,Gold,94,95,97,85,97,37,77,2018-09-19 11:18:34
Ángel Di María,Manchester Utd,Barclays PL,CAM,Gold,94,96,88,91,95,64,78,2018-09-19 11:18:34
Sergio Ramos,Real Madrid,Liga BBVA,CB,Gold,94,86,69,79,74,96,90,2018-09-19 11:18:34
Cristiano Ronaldo,Real Madrid,Liga BBVA,ST,Gold,94,95,96,85,94,36,82,2018-09-19 11:18:34
Lionel Messi,FC Barcelona,Liga BBVA,CF,Gold,94,94,91,88,97,30,64,2018-09-19 11:18:34
Carlos Tévez,Juventus,Serie A,ST,Gold,93,94,96,88,95,60,94,2018-09-19 11:18:34
Sergio Ramos,Real Madrid,Liga BBVA,CB,Gold,93,85,67,78,72,95,90,2018-09-19 11:18:34
Jérôme Boateng,FC Bayern,Bundesliga,CB,Gold,93,86,60,80,80,96,92,2018-09-19 11:18:34
Alexis Sánchez,Arsenal,Barclays PL,RW,Gold,93,95,96,89,98,55,80,2018-09-19 11:18:34
Diego Costa,Chelsea,Barclays PL,ST,Gold,93,89,96,75,89,50,95,2018-09-19 11:18:34
Luis Suárez,FC Barcelona,Liga BBVA,ST,Gold,93,87,95,86,95,50,87,2018-09-19 11:18:34
Zlatan Ibrahimović,PSG,Ligue 1,ST,Gold,93,79,96,86,93,40,92,2018-09-19 11:18:34
Arjen Robben,FC Bayern,Bundesliga,RW,Gold,93,95,93,88,96,38,70,2018-09-19 11:18:34
Toni Kroos,Real Madrid,Liga BBVA,CM,Gold,93,68,91,97,91,68,78,2018-09-19 11:18:34
Thiago Silva,PSG,Ligue 1,CB,Gold,93,86,65,79,78,95,89,2018-09-19 11:18:34
Cristiano Ronaldo,Real Madrid,Liga BBVA,LW,Gold,93,94,95,83,92,34,80,2018-09-19 11:18:34
Lionel Messi,FC Barcelona,Liga BBVA,CF,Gold,93,93,89,86,96,27,62,2018-09-19 11:18:34
Thiago Silva,PSG,Ligue 1,CB,Gold,92,85,64,78,77,94,88,2018-09-19 11:18:34
James Rodríguez,Real Madrid,Liga BBVA,CM,Gold,92,86,90,92,91,50,80,2018-09-19 11:18:34
Toni Kroos,Real Madrid,Liga BBVA,CM,Gold,92,66,89,96,90,65,75,2018-09-19 11:18:34
Kevin De Bruyne,VfL Wolfsburg,Bundesliga,CAM,Gold,92,88,95,98,94,55,82,2018-09-19 11:18:34
Luis Suárez,FC Barcelona,Liga BBVA,ST,Gold,92,86,94,84,94,47,85,2018-09-19 11:18:34
Zlatan Ibrahimović,PSG,Ligue 1,ST,Gold,92,78,95,84,90,38,90,2018-09-19 11:18:34
Arjen Robben,FC Bayern,Bundesliga,RM,Gold,92,94,91,87,94,37,69,2018-09-19 11:18:34
Cristiano Ronaldo,Real Madrid,Liga BBVA,LW,Gold,92,81,98,91,92,52,96,2018-09-19 11:18:34
Wayne Rooney,Manchester Utd,Barclays PL,ST,Gold,91,84,98,80,93,50,94,2018-09-19 11:18:34
Edinson Cavani,PSG,Ligue 1,LW,Gold,91,81,92,91,90,91,97,2018-09-19 11:18:34
Yaya Touré,Manchester City,Barclays PL,CM,Gold,91,85,91,90,95,85,95,2018-09-19 11:18:34
Paul Pogba,Juventus,Serie A,CM,Gold,91,95,95,85,95,40,80,2018-09-19 11:18:34
Antoine Griezmann,Atlético Madrid,Liga BBVA,ST,Gold,91,85,93,82,92,45,83,2018-09-19 11:18:34
